name, synonyms
*:*
+:+
-:-
/:/
<:<
=:=
>:>
ABS:abs
AND:and
ANNOUNCE:announce
ANSWER:answer
ARCTAN:arctan
ASCII:ascii
ASK:ask
BG:bg
BK:bk
BOTTOM:bottom
BROADCAST:broadcast
BUTFIRST:butfirst
BUTLAST:butlast
CAREFULLY:carefully
CB:cb
CC:cc
CD:cd
CF:cf
CG:cg
CHAR:char
CLEAN:clean
CLEARNAME:clearname
CLEARNAMES:clearnames
CLEARTEXT:cleartext,ct
CLICKOFF:clickoff
CLICKON:clickon
COLOR:color
COLORUNDER:colorunder
COPY:copy
COS:cos
COUNT:count
CREATEPROJECTVAR:createprojectvar
CU:cu
DELETECHAR:deletechar,delete
DIFFERENCE:difference
DISTANCE:distance
DOLIST:dolist
DOTIMES:dotimes
EMPTY?:empty?
END:end
EOL:eol
EOT?:eot?
EQUAL?:equal?
ERRORMESSAGE:errormessage
EVERYONE:everyone
EXP:exp
FILL:fill
FIRST:first
FOREVER:forever
FORWARD:forward,fd
FPUT:fput
FREEZE:freeze
FREEZEBG:freezebg
GETPAGE:getpage
GIVETURTLE:giveturtle
GLIDE:glide
GREATER?:greater?
HEADING:heading
HIDETEXT:hidetext
HOME:home
HT:ht
IDENTICAL?:identical?
IF:if
IFELSE:ifelse
INBACK:inback
INFRONT:infront
INSERT:insert
INT:int
ITEM:item
LAST:last
LAUNCH:launch
LESS?:less?
LET:let
LIST:list
LIST?:list?
LN:ln
LOG:log
LPUT:lput
LT:lt
MAKE:make
MEMBER?:member?
MESSAGE:message
MINUS:minus
NAME?:name?
NAMEPAGE:namepage
NAMES:names
NEXTPAGE:nextpage
NOT:not
NUMBER?:number?
OP:op
OPACITY:opacity
OR:or
PAGELIST:pagelist
PARSE:parse
PASTE:paste
PD:pd
PENERASE:penerase
PENSIZE:pensize
PI:pi
PICK:pick
POS:pos
POWER:power
PREVPAGE:prevpage
PRINT:print,pr
PRODUCT:product
PU:pu
QUESTION:question
QUOTIENT:quotient
RANDOM:random
REMAINDER:remainder
RENAME:rename
REPEAT:repeat
RESETT:resett
ROUND:round
RT:rt
SAY:say
SAYAS:sayas
SE:se
SEARCH:search
SELECT:select
SELECTED:selected
SENDER:sender
SENTENCE:sentence
SETBG:setbg
SETCOLOR:setcolor,setc
SETHEADING:setheading,seth
SETOPACITY:setopacity
SETPENSIZE:setpensize
SETPOS:setpos
SETSHAPE:setshape,setsh
SETSIZE:setsize
SETX:setx
SETY:sety
SHAPE:shape
SHOW:show
SHOWTEXT:showtext
SIN:sin
SIZE:size
SOL:sol
SPEAKTEXT:speaktext
SQRT:sqrt
ST:st
STAMP:stamp
STOP:stop
STOPALL:stopall
STOPME:stopme
SUM:sum
TAN:tan
TELL:tell
TEXTCOUNT:textcount
TEXTITEM:textitem
TEXTPICK:textpick
TEXTWHO:textwho
THING:thing
TIMER:timer
TO:to
TOP:top
TOUCHEDTURTLE:touchedturtle
TOUCHING?:touching?
TOWARDS:towards
TRANSPARENT:transparent
TTO:tto,talkto
TURTLESOWN:turtlesown
UNFREEZE:unfreeze
UNFREEZEBG:unfreezebg
UNSELECT:unselect
VOICES:voices
WAIT:wait
WHO:who
WORD:word
WORD?:word?
XCOR:xcor
YCOR:ycor